Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
354,590,250,5,-5,580,False,True
1220,180,560,5,-5,140,False,True
1119,325,95,-5,5,220,True,False
1703,565,465,-5,-5,420,True,False
1104,400,20,-5,5,370,True,False
2925,775,305,-5,-5,520,True,False
1124,300,120,-5,5,170,True,False
2504,280,60,5,5,230,False,True
3926,510,60,-5,5,530,True,False
2689,375,325,-5,-5,390,True,False
360,620,220,5,-5,640,False,True
2799,175,225,5,5,230,False,True
2042,450,70,-5,5,270,True,False
360,620,220,5,-5,640,False,True
3472,380,110,5,5,320,False,True
523,145,565,-5,-5,110,True,False
1253,345,395,5,-5,470,False,True
1792,120,20,-5,-5,270,True,False
1541,205,115,5,-5,120,False,True
2701,315,265,-5,-5,270,True,False
604,260,160,5,-5,340,False,True
2637,635,585,-5,-5,540,True,False
2936,720,250,-5,-5,410,True,False
765,515,515,-5,-5,470,True,False
3143,315,375,5,-5,450,False,True
3623,445,295,-5,-5,180,True,False
2172,200,440,5,-5,280,False,True
1941,625,435,5,-5,590,True,False
4051,115,585,5,-5,30,False,True
511,205,535,-5,5,160,True,False
478,370,370,-5,5,220,True,False
